DSC,Model,Dataset
0.9505823850631714,DeepLabV3+,ISIC 2017
0.7971625924110413,DeepLabV3+,ISIC 2017
0.9804644584655762,DeepLabV3+,ISIC 2017
0.9653713703155518,DeepLabV3+,ISIC 2017
0.9508324265480042,DeepLabV3+,ISIC 2017
0.8819168210029602,DeepLabV3+,ISIC 2017
0.9738112688064576,DeepLabV3+,ISIC 2017
0.9240605235099792,DeepLabV3+,ISIC 2017
0.5161134004592896,DeepLabV3+,Kvasir-SEG
0.9686477780342102,DeepLabV3+,Kvasir-SEG
0.8437848687171936,DeepLabV3+,Kvasir-SEG
0.9501341581344604,DeepLabV3+,Kvasir-SEG
0.952205240726471,DeepLabV3+,Kvasir-SEG
0.9759504795074464,DeepLabV3+,Kvasir-SEG
0.9766824841499328,DeepLabV3+,Kvasir-SEG
0.855157732963562,DeepLabV3+,Kvasir-SEG
0.7956203818321228,DeepLabV3+,Kvasir-SEG
0.9426841735839844,DeepLabV3+,Kvasir-SEG
0.9284889101982116,DeepLabV3+,Kvasir-SEG
0.8370056748390198,DeepLabV3+,Kvasir-SEG
0.8913690447807312,DeepLabV3+,Kvasir-SEG
0.4025092124938965,DeepLabV3+,Kvasir-SEG
0.9605180025100708,DeepLabV3+,Kvasir-SEG
0.8286508917808533,DeepLabV3+,Kvasir-SEG
0.9382270574569702,DeepLabV3+,Kvasir-SEG
0.9235056042671204,DeepLabV3+,Kvasir-SEG
0.9306389093399048,DeepLabV3+,Kvasir-SEG
0.9549237489700316,DeepLabV3+,Kvasir-SEG
0.9183189868927002,DeepLabV3+,Kvasir-SEG
0.6271405816078186,DeepLabV3+,Kvasir-SEG
0.933909833431244,DeepLabV3+,Kvasir-SEG
0.8577292561531067,DeepLabV3+,Kvasir-SEG
0.9514074325561525,DeepLabV3+,Kvasir-SEG
0.9092358350753784,DeepLabV3+,Kvasir-SEG
0.9428536891937256,DeepLabV3+,Kvasir-SEG
0.4255411624908447,DeepLabV3+,Kvasir-SEG
0.945572018623352,DeepLabV3+,Kvasir-SEG
0.9210349321365356,DeepLabV3+,Kvasir-SEG
0.974416196346283,DeepLabV3+,Kvasir-SEG
0.9324302077293396,DeepLabV3+,Kvasir-SEG
0.8061590194702148,DeepLabV3+,Kvasir-SEG
0.9342323541641236,DeepLabV3+,Kvasir-SEG
0.2227302193641662,DeepLabV3+,Kvasir-SEG
0.978990375995636,DeepLabV3+,Kvasir-SEG
0.9529960751533508,DeepLabV3+,Kvasir-SEG
0.981211483478546,DeepLabV3+,Kvasir-SEG
0.9556924700737,DeepLabV3+,Kvasir-SEG
0.8865298628807068,DeepLabV3+,Kvasir-SEG
0.9269726872444152,DeepLabV3+,Kvasir-SEG
0.924418807029724,DeepLabV3+,Kvasir-SEG
0.9031659364700316,DeepLabV3+,Kvasir-SEG
0.9631619453430176,DeepLabV3+,Kvasir-SEG
0.9851242303848268,DeepLabV3+,Kvasir-SEG
0.8053568601608276,DeepLabV3+,Kvasir-SEG
0.9600856900215148,DeepLabV3+,Kvasir-SEG
0.9767879247665404,DeepLabV3+,Kvasir-SEG
0.9784821271896362,DeepLabV3+,Kvasir-SEG
0.4335662722587585,DeepLabV3+,Kvasir-SEG
0.7708113193511963,KD SAM,Breast Ultrasound
0.6570091247558594,KD SAM,Breast Ultrasound
0.9064807891845704,KD SAM,Breast Ultrasound
0.782333493232727,KD SAM,Breast Ultrasound
0.8647466897964478,KD SAM,Breast Ultrasound
0.910553812980652,KD SAM,Breast Ultrasound
0.7885183095932007,KD SAM,Breast Ultrasound
0.8485840559005737,KD SAM,Breast Ultrasound
0.8424350023269653,KD SAM,Breast Ultrasound
0.8919045329093933,KD SAM,Breast Ultrasound
0.8541423678398132,KD SAM,Breast Ultrasound
0.6966869831085205,KD SAM,Breast Ultrasound
0.71670001745224,KD SAM,Breast Ultrasound
0.9289107322692872,KD SAM,Breast Ultrasound
0.7606636881828308,KD SAM,Breast Ultrasound
0.8571550250053406,KD SAM,Breast Ultrasound
0.773949384689331,KD SAM,Breast Ultrasound
0.7969904541969299,KD SAM,Breast Ultrasound
0.9131690859794616,KD SAM,Breast Ultrasound
0.8970663547515869,KD SAM,Breast Ultrasound
0.8370696902275085,KD SAM,Breast Ultrasound
0.5175434947013855,KD SAM,Breast Ultrasound
0.8893436193466187,KD SAM,Breast Ultrasound
0.8642824292182922,KD SAM,Breast Ultrasound
0.6696714162826538,KD SAM,Breast Ultrasound
0.8219916224479675,KD SAM,Breast Ultrasound
0.930577278137207,KD SAM,Breast Ultrasound
0.8510676026344299,KD SAM,Breast Ultrasound
0.6411224007606506,KD SAM,Breast Ultrasound
0.8917158246040344,KD SAM,Breast Ultrasound
0.8904294967651367,KD SAM,Breast Ultrasound
0.918106496334076,KD SAM,Breast Ultrasound
0.8001707792282104,KD SAM,Breast Ultrasound
0.6051469445228577,KD SAM,Breast Ultrasound
0.8570358753204346,KD SAM,Breast Ultrasound
0.8113139867782593,KD SAM,Breast Ultrasound
0.8870524764060974,KD SAM,Breast Ultrasound
0.7437790036201477,KD SAM,Breast Ultrasound
0.8616111278533936,KD SAM,Breast Ultrasound
0.8644679188728333,KD SAM,Breast Ultrasound
0.842008650302887,KD SAM,Breast Ultrasound
0.8093124628067017,KD SAM,Breast Ultrasound
0.8949745297431946,KD SAM,Breast Ultrasound
0.8881513476371765,KD SAM,Breast Ultrasound
0.8773746490478516,KD SAM,Breast Ultrasound
0.8548888564109802,KD SAM,Breast Ultrasound
0.7735527157783508,KD SAM,Breast Ultrasound
0.8364844918251038,KD SAM,Breast Ultrasound
0.7766241431236267,KD SAM,Breast Ultrasound
0.9122877717018129,KD SAM,Breast Ultrasound
0.9280213117599488,KD SAM,Fetal Head
0.957390069961548,KD SAM,Fetal Head
0.9484186172485352,KD SAM,Fetal Head
0.9944714307785034,KD SAM,Fetal Head
